label,source,name,text
Literal,Quezon G7 Intervention,Quezon G7 Intervention — Pagmamano: A Filipino Practice,"Mano is a Spanish term which means ""hand"", accompanied by ""po"" as a means of showing respect to the elders. During the Spanish era, pagmamano was done by kissing the hands of the elders, but as time passed by, it is practiced differently. The elders are the ones putting their hands on the forehead of the children or simply touching their heads. Pagmamano is done by the youngsters as their way of greetings to their parents and to their grandparents. They are seen doing it not just on special occasions like Christmas or New Year or during their family reunions, but almost everyday. This uniquely Filipino-owned practice makes us stand out among other cultures because it mirrors the strong family ties that we have."
Literal,Quezon G7 Post Test,Quezon G7 Post Test — Cherished Saturday,"It was Saturday morning. My brother and I woke up very early to attend Thanksgiving Worship Service. We were not used to get up early on Saturdays unless for a very special occasion. Of course, special occasions seldom happen. My family hurriedly prepared because we need to arrive early to the church. Almost all seats in the church were occupied by the brethren when we arrived. Fortunately, there was a deacon who guided us to the reserved seats. Alas, we comfortably sat and do our own devotional prayers to the Lord. Moments later, I felt the peace within my soul as the choir sang the hymn soulfully. Then, the minister began his preaching of God's words. The brethren were all eyes and ears from the beginning till the end of the gospel. Through the gospel, each member of the church was enlightened spiritually. It was Saturday morning, for which I can say was one of the best Saturdays of my life!"
Inferential,Phil-IRI G7 GST,Phil-IRI G7 GST — Telling Time,"Humans have used different objects to tell time. In the beginning, they used an hourglass. This is a cylindrical glass with a narrow center which allows sand to flow from its upper to its lower portion. Once all the sand has trickled to the lower portion, one knows that an hour has passed. Using the same idea, water clocks were constructed to measure time by having water flow through a narrow passage from one container to another. On the other hand, sundials allowed people to estimate an hour by looking at the position of the shadow cast by the sun on a plate. At night, people measured time by checking the alignment of the stars in the sky. None of these were accurate, though. The clock was the first accurate instrument for telling time."
Inferential,Phil-IRI G7 GST,Phil-IRI G7 GST — Counting the Hours,"When men decided to divide the day into twenty-four hours, they used numbers one through twelve two times. As a result, there was one o'clock during the day and another one o'clock after midnight. This created confusion. If one was told to submit a project at six o'clock, did this mean six o'clock in the morning or at night? The Romans provided a solution to this problem. They thought that noon time, the time when the sun is at its apex, is an important time. They called noon Meridies and measured time by this. They called the morning ante meridiem, which means 'before noon' while 'after noon' was called post meridiem. Ante meridiem was shortened to A.M. while post meridiem was shortened to P.M."
Inferential,Phil-IRI G7 GST,Phil-IRI G7 GST — Nosebleeds,"Having a nosebleed is a common occurrence. Children experience epistaxis when blood flows out from either or both nostrils, often for a short period of time. It may be caused by one's behavior like frequent nose picking or blowing too hard when one has a cold. It may also be caused by certain physical factors such as an allergy or abnormal growths in the nasal cavity. Or it may be due to environmental conditions such as exposure to toxic fumes or dryness of the air. While it is often thought that holding one's head back can treat a nosebleed, this can actually cause one to choke or vomit. The best thing to do is to lean forward, pinch the top of the nose and apply a cold compress. And if that doesn't work, it's best to get professional help."
Inferential,Phil-IRI G7 Pre Test,Phil-IRI G7 Pre Test — Dark Chocolate,"Dark chocolate finds its way into the best ice creams, biscuits and cakes. Although eating chocolate usually comes with a warning that it is fattening, it is also believed by some to have magical and medicinal effects. In fact, cacao trees are sometimes called Theobroma cacao which means 'food of the gods.' Dark chocolate has been found out to be helpful in small quantities. One of its benefits is that it has some of the most important minerals and vitamins that people need. It has antioxidants that help protect the heart. Another important benefit is that the fat content of chocolate does not raise the level of cholesterol in the blood stream. A third benefit is that it helps address respiratory problems. Also, it has been found out to help ease coughs and respiratory concerns. Finally, chocolate increases serotonin levels in the brain. This is what gives us a feeling of well-being."
Inferential,Phil-IRI G7 Pre Test,Phil-IRI G7 Pre Test — Sneezing,"Sneezing happens when our body is trying to remove an irritation found inside the nose. A special name for this process is sternutation. How does a sneeze happen? When your nose is tickled, the sneeze center in our brain receives a message. Soon, the other parts of the body that work together to create a sneeze such as the abdominal muscles, chest muscles, the diaphragm, the muscles of the vocal chords, the back of the throat, and the eyelids receive this message. An explosion as fast as 161 kilometers per hour sends the irritant speeding out of your nose. Examples of irritants in the air are dust, pepper, or allergens such as pollen. Some experience having a photic reflex and sneeze as soon as they are under the bright sun. Now, if it ever happens that a sneeze of yours gets stuck, look towards a bright light to unstick your stuck sneeze."
Inferential,Phil-IRI G7 Pre Test,Phil-IRI G7 Pre Test — Dust,"No matter how often we sweep the floor of our homes, we are still able to gather together a considerable amount of dust. Dust is all around us. It gathers on bookshelves, on furniture - old or new. These particles rest on any still object - undisturbed until touched or wiped clean. Dust, which was first believed to be made of dead skin has been found to be a mix of different things. Some of the common ingredients of dust particles include animal fur, dead insects, food, fiber from clothes, beddings, soil and other chemicals. Although most of household dust comes from the outside through doors, windows and shoes, other dust particles come from within. Scientists have discovered that the mix of dust from each household actually depends on four things: the climate, the age of the house, the number of persons who live in it and their individual cooking, cleaning and smoking habits. Making our homes free of dust may not be possible but lessening the amount of dust that we keep in our homes will help avoid possible allergies and allow us to breathe well."
Inferential,Phil-IRI G7 Pre Test,Phil-IRI G7 Pre Test — Pain,"How do we sense pain? The human body has nociceptors to receive an electrical impulse that is sent to part of the brain that recognizes pain. Memories of these sensations are formed to help us avoid painful objects and experiences and prevents us from repeating past mistakes that may have hurt us in some way. But pain is more complex. It is not only a physical experience but an emotional and psychological one as well. When all of these come together, it is called suffering. The mind is not alone in recognizing pain. The nervous system is also able to store such information. Even when a person loses a finger or a limb, the pain that was once felt may become a chronic one - one that keeps recurring. The best way to avoid this is to prevent pain memories from forming. The use of anesthesia prevents the mind from creating these memories. Drugs that prevent pain such as analgesics help lessen the pain sensed."
Inferential,Quezon G7 GST,Quezon G7 GST — Chami,"If there is one menu that most people in Lucena would like to order, it's probably their favorite ""chami"". With only P25.00 to P40.00 per order, one can experience tasting the delectable pancit made from flat or round noodles. In fast food chains or small restaurants, this menu is always on the top list, whether it's ordinary or special. Caldo or chicken broth, when mixed with the ingredients like shrimps, liver, squid balls or fish balls and vegetables makes the chami tastier. Since it's the city folk's favorite, ""Lucenahin"" include Chami Festival as one of the highlights of the fiesta celebration held during the month of May. People serve as judges in choosing the most delicious chami prepared by different chefs from nearby barangays in Lucena, City."
Inferential,Quezon G7 GST,Quezon G7 GST — Paragos: A Local Color,"Most of the areas in Quezon are still considered as agricultural. Rice, corn, coconut and other root crops such as camote, cassava and ube are only some of the harvested products in the rural and far-flung barrios in Lucena and Quezon. Since these areas are too far from the city, farmers have a hard time bringing these products in the markets. Paragos (sledge) serves as a mode of transportation of the barrio folk. This can help them transport and sell their goods in the town or city proper. It resembles the physical look of a car. It is the version of the four wheels in the city's concept of limousine. It is made up of wood. It contains pair of palunas (paddle) touching the ground. With the help of a carabao, the paragos is pulled to walk."
Inferential,Quezon G7 GST,Quezon G7 GST — Quezon's Local Hero,"Every fourth day of November, people in Quezon Province commemorate the death of Hermano Puli. Apolinario Dela Cruz, also known as Hermano Puli was born on July 22, 1814 in Barrio Pandac, still in Quezon Province. He was a charismatic leader whose crusade for religious freedom turned into a major revolt against the Spanish rule in the Philippines in the early 19th century. He put up a religious confraternity called the Cofradia de San Jose. Because of his passionate leadership, he was able to attract hundreds of followers from nearby towns in Tayabas, Laguna and Batangas. The governor general that time discovered that the Cofradia limited its membership to Indios. He ordered Puli's arrest. Puli fled but was captured the next day. He was executed and his body was cut into pieces and his head was hung on a pole."
Inferential,Quezon G7 Pretest,Quezon G7 Pretest — Bamboo Bridges,"Consider passing along the roads of Quezon Province, there are many sights to hold you in awe. One may not notice it, but the wonderful one-line bridge made of bamboo trunks connecting the coconut trees is a view one cannot ignore. These bamboo bridges are connected to the uppermost parts of the coconut trees which are more than 20 feet above the ground. They are made delicately and properly in order to make sure that they could support the weight of the tuba makers (mangangarit), who seem fearless while crossing from one bridge to the other while harvesting the tuba (coconut wine) through the use of tukil (bamboo pitcher). Crossing the coconut bridge seems dangerous so they have to be careful because one wrong step may lead to falling; once they fall, one may die or paralyze for life."
Inferential,Quezon G7 Pretest,Quezon G7 Pretest — Niyogyugan: A Festivity,"Niyogyugan Festival is one of the famous festivals in Quezon which name derived from the words: niyog (coconut), Quezon's main agricultural products; and yugyugan (to shake or to move). The Quezon provincial government has celebrated the Niyogyugan since 2012, a feast held every August, a thanksgiving for the bountiful harvest of coconut. It aims to unite all the municipalities of the province and to promote the coconut industry as well as the other local delicacies and products. This festival is a week-long festivity which showcases several events such as the Bb. Niyogyugan, which is the highlight of the celebration; Niyogyugan Invest Forum; Niyogyugan Kusineros; Karosa ng Niyog — float competition and a lot more. They also have ""Araw ng Pamilyang Magsasaka"" recognition for all the farmers in Quezon, and ""Teachers' Convention Day"" to honour all the teachers in the province."
Inferential,Quezon G7 Pretest,Quezon G7 Pretest — Lucenahin's Tagalog,"Philippines has plenty of dialects; Tagalog is just one of those. But many are not aware that even Tagalog, a distinct dialect of its own has many different local versions. One of these is the Tagalog used in Lucena. Lucenahin use Tagalog words that are understood by them but may sound strange for some Tagalog speakers. Someone who is not native in Lucena might hear Lucenahin say words such as dayag which means ""washing the dishes"" or akit which means ""to invite"". Halang or mahalang which means ""spicy""; and abuhan which means ""stove"" or maribuso which means ""naughty"". Abyad which means ""to settle or to take care of someone or something"" and the likes might raise their eyebrow because it sounds strange than the usual. Lucenahin might speak a different version of Tagalog but it only proves that language is really dynamic."
Inferential,Quezon G7 Pretest,Quezon G7 Pretest — Manuel L. Quezon Monument,"In 1946, Godofredo Magallanes promised Quezon's widow, Aurora, that a monument of Quezon would be built as a tribute to his participation and struggle for the Philippine independence from the United States. After 4 years, the plan for building the monument was conceived. Gov. Vicente Constantino appealed to all the residents of Quezon province for the donations through Christmas cards in 1952. Twelve sacks of one centavo coins donated by public elementary students from all over Tayabas Province (now Quezon Province) were collected and shipped to Milan, Italy where it was sculpted by an Italian. The Quezon monument was then erected in 1954 along with the marble wall that contains Pres. Quezon's message to the people, and was inaugurated on August 19, 1955 by Pres. Ramon Magsaysay during the celebration of the 77th birth anniversary of Pres. Manuel L. Quezon."
Inferential,Quezon G7 Post Test,Quezon G7 Post Test — Bulungan,"Early at dawn when everyone is sound asleep at around 1 to 2 in the morning, big and small time capitalists, buyers, sellers, middlemen and fishermen gather at the Lucena Dalahican Port for ""Bulungan"". Bulungan means secret auction, a way of selling and buying raw and fresh sea food products. This secrecy in bidding serves the purpose of buying bulk seafood products at a cheaper cost. How do sellers and buyers transact using this business method? Buyers and sellers alike use a secret code in doing transactions. The seller whispers the price of his seafood products in bulk using a code. Prudence must be exercised both by the seller and buyer in bidding for a satisfying return of investment. Odd as it may seem but this practice has been going around for years with an unknown root."
Inferential,Quezon G7 Post Test,Quezon G7 Post Test — Kiping,"Kiping, a leaf-shaped decorative piece highlights the Pahiyas Festival in Lucban. How is kiping made? First, it is made from carefully selected leaves used as moulders. The kinds of leaves include kabal, kape, talisay (umbrella tree), kakaw (cocoa), antipolo and banana (saba). The leaves should be matured. They are cut into uniformed sizes. Next is the preparation of rice paste. A C-64 rice variety that has been stocked for a year is soaked in water for two hours before grinding. Then, the grounded rice is mixed with three packets of food color and rock salt. Finally, the paste will be spread on individual leaves and cooked in an improvised steamer made of bamboo slats for 30 minutes. Once dried under the shade, peel off from the mould, place each one on top of the other, compress them for half a day, then store in a clean box or decoratively hang them. The complexity of the process makes Kiping truly a product of art and hardwork."
Evaluative,Phil-IRI G8,Phil-IRI G8 — Deforestation and Its Consequences,"Deforestation refers to the large-scale removal of forests, primarily driven by agricultural expansion, logging, and urban development. When trees are cleared, the ecological balance of an area is profoundly disrupted. Forests serve as carbon sinks, absorbing vast amounts of carbon dioxide that would otherwise contribute to the greenhouse effect and accelerate climate change. The loss of tree cover also destabilizes soil, increasing the risk of erosion and landslides, particularly in mountainous regions. Biodiversity collapses as wildlife lose their natural habitats, pushing numerous species toward extinction. Indigenous communities whose livelihoods depend on forest resources are likewise displaced. Addressing deforestation requires coordinated policy interventions, reforestation programs, and a shift in global consumption patterns that drive demand for forest-derived products."
Evaluative,Phil-IRI G8,Phil-IRI G8 — The Water Cycle and Climate Regulation,"The hydrological cycle is a continuous process by which water circulates through the Earth's systems — from the oceans and land surfaces, through the atmosphere, and back again. Solar energy drives evaporation, lifting water vapor into the atmosphere where it condenses to form clouds. Precipitation then returns water to the surface, replenishing rivers, lakes, and groundwater reserves. This cycle is intimately connected to climate regulation: the evaporation of water absorbs heat, cooling the surface, while condensation releases latent heat in the upper atmosphere. Human activities that alter land cover — such as deforestation and the expansion of impervious urban surfaces — disrupt local precipitation patterns and reduce the land's capacity to absorb and retain water. Understanding these dynamics is critical for managing water resources sustainably in the face of a changing climate."
Evaluative,Phil-IRI G8,Phil-IRI G8 — Propaganda and Media Literacy,"Propaganda is the deliberate use of biased or misleading information to promote a particular agenda or manipulate public opinion. Historically employed by governments during wartime, propaganda has evolved in the digital age into subtler forms that permeate social media, advertising, and political discourse. Techniques include appeal to fear, bandwagon fallacies, cherry-picking evidence, and the use of emotionally charged language designed to bypass rational analysis. Media literacy — the ability to critically evaluate sources, identify logical fallacies, and distinguish fact from opinion — is therefore an essential competency in contemporary civic life. Developing this skill requires not only exposure to diverse viewpoints but also an understanding of the economic and ideological interests that shape the production and dissemination of information."
Evaluative,Phil-IRI G9,Phil-IRI G9 — Climate Change and Resilience,"Climate change poses one of the most complex and far-reaching challenges of the twenty-first century, requiring responses that transcend national boundaries and integrate scientific, economic, and sociopolitical dimensions. The Intergovernmental Panel on Climate Change has documented that global average temperatures have risen by approximately 1.1 degrees Celsius above pre-industrial levels, driven primarily by anthropogenic greenhouse gas emissions. The consequences — more frequent extreme weather events, rising sea levels, and shifting agricultural zones — disproportionately affect developing nations and vulnerable communities that have contributed least to the problem. Building resilience necessitates both mitigation strategies, such as transitioning to renewable energy, and adaptation measures, including climate-proofing infrastructure and diversifying food systems. The principle of common but differentiated responsibilities underscores that while all nations must act, wealthier countries bear a greater obligation to lead and to finance global solutions."
Evaluative,Phil-IRI G9,Phil-IRI G9 — The Philosophy of Justice,"Justice is a foundational concept in moral and political philosophy, yet its precise meaning remains contested across theoretical traditions. Distributive justice concerns the fair allocation of resources, opportunities, and burdens within society. John Rawls, in his influential work A Theory of Justice, proposed that just arrangements are those that rational individuals would choose behind a 'veil of ignorance' — that is, without knowledge of their own social position, talents, or circumstances. This thought experiment yields two principles: equal basic liberties for all, and inequalities permitted only insofar as they benefit the least advantaged members of society. Retributive justice, by contrast, focuses on proportionate responses to wrongdoing, while restorative justice prioritizes the repair of harm and the rehabilitation of offenders. Each framework reflects different assumptions about human dignity, social obligation, and the purpose of law."
Evaluative,Phil-IRI G10,Phil-IRI G10 — Colonialism and National Identity,"The legacies of colonialism continue to shape the political, economic, and cultural landscapes of formerly colonized nations long after formal independence. Colonizers systematically dismantled indigenous institutions, imposed foreign languages and religions, and restructured economies to serve metropolitan interests rather than local needs. The psychological dimensions of this process — internalized inferiority, cultural alienation, and the devaluation of indigenous knowledge — were analyzed by theorists such as Frantz Fanon and Jose Rizal, who argued that decolonization requires not only political liberation but also a profound reconstitution of collective identity. In the Philippine context, the struggle to define a coherent national identity has involved negotiating multiple layers of Spanish and American colonial influence alongside a rich and diverse archipelagic heritage. Contemporary debates around language policy, historical memory, and cultural production reflect the ongoing work of this decolonial project."
Evaluative,Phil-IRI G10,Phil-IRI G10 — Globalization and Cultural Homogenization,"Globalization — the accelerating integration of economies, cultures, and information systems across national boundaries — has generated profound debate about its effects on cultural diversity. Proponents argue that global connectivity fosters intercultural understanding, expands access to ideas and technologies, and creates new hybrid cultural forms that enrich the human experience. Critics, however, warn of cultural homogenization: the dominance of Western, particularly American, media and consumer culture threatens to erode local languages, traditions, and value systems. The concept of 'glocalization' attempts to capture the more nuanced reality in which global influences are filtered through and adapted to local contexts, producing neither pure uniformity nor unchanged tradition. The challenge for societies in an interconnected world is to participate in global exchange while cultivating the critical awareness needed to preserve and revitalize what is distinctive and irreplaceable in their own cultural heritage."
Evaluative,Phil-IRI G10,Phil-IRI G10 — Artificial Intelligence and Ethics,"Artificial intelligence systems are increasingly embedded in consequential decisions affecting employment, healthcare, criminal justice, and national security. As these systems grow in sophistication and autonomy, they raise profound ethical questions that existing legal and regulatory frameworks were not designed to address. Algorithmic bias — the tendency of machine learning models to replicate and amplify the prejudices present in their training data — has produced documented disparities in facial recognition accuracy across racial groups and in recidivism risk scores used in sentencing. Transparency and explainability present further challenges: many high-performing models operate as 'black boxes' whose internal logic cannot be readily inspected or contested by those affected by their outputs. Meaningful governance of AI requires interdisciplinary collaboration among technologists, ethicists, legal scholars, and affected communities to establish accountability mechanisms that keep these powerful tools aligned with human values and rights."
Literal,Phil-IRI 2024 JHS EN Pre G4,Phil-IRI 2024 JHS EN Pre G4 — Anansi's Web,"Anansi is a spider who appears in African folktales. He is known for being clever and tricky. One day, Anansi heard that all the stories in the world belonged to the Sky God, Nyame. Anansi wanted to have these stories. He climbed up to the sky to ask Nyame for them. The Sky God laughed. He said that many great warriors had tried but no one could pay the price. Anansi asked what the price was. Nyame said he must bring Onini the Python, Osebo the Leopard, and a swarm of bees. Anansi went home and thought of a plan. He was clever enough to use his web to catch all three. He brought them to the Sky God. Nyame was so amazed that he gave Anansi all the stories. From that day on, all stories are called Spider Stories."
Literal,Phil-IRI 2024 JHS EN Pre G5,Phil-IRI 2024 JHS EN Pre G5 — Amy's Good Deed,"Amy was walking home from school one afternoon when she noticed an old woman trying to cross a busy street. The old woman looked confused and afraid. Cars were moving fast and no one seemed to care. Amy put down her bag and walked over to her. 'May I help you cross the street?' she asked. The old woman smiled gratefully. 'Yes, please,' she said. Amy held her hand and waited for the light to turn green. Carefully, she guided the old woman to the other side. 'Thank you, my dear,' the old woman said warmly. 'You are very kind.' Amy smiled and continued on her way home. That night, she told her mother what happened. Her mother hugged her and said, 'I am proud of you, Amy. Helping others is one of the best things you can do.'"
Literal,Phil-IRI 2024 JHS EN Pre G6,Phil-IRI 2024 JHS EN Pre G6 — Dreams,"Everyone has a dream. Some people dream of becoming doctors, teachers, or engineers. Others dream of becoming famous singers or athletes. But a dream is not just a wish. A dream is a goal that you work toward every day. If you want to become a doctor, you must study hard in school. If you want to become a musician, you must practice every day. Dreams give us a reason to get up in the morning. They give us hope when life is hard. Some people say that dreams are for children, but that is not true. People of all ages have dreams. The important thing is to believe in your dream and to take steps toward it. No dream is too small or too big. With hard work, courage, and determination, any dream can come true."
Inferential,Phil-IRI 2024 JHS EN Pre G7,Phil-IRI 2024 JHS EN Pre G7 — Lili the Lizard and Koko the Gecko,"Lili the lizard lived in a sunny patch of rocks near the river. Koko the gecko lived on the cool wall of an old stone house. They were very different from each other, but they were the best of friends. One day, Lili found a large pile of ripe berries under a tree. 'Koko!' she called. 'Come and share these berries with me.' Koko climbed down from the wall. 'But I am afraid of the open ground,' he said. 'The hawk watches from the sky.' Lili thought for a moment. 'Then I will be your lookout,' she said. 'I will watch the sky while you eat.' So Koko went to the berries while Lili kept watch. When she saw a hawk circling, she signaled Koko and they both hid under the rocks. Later, when Lili was cold and could not find warmth, Koko found her a spot on the warm stone wall. They took care of each other because they knew that two friends, even very different ones, are stronger than one."
Evaluative,Phil-IRI 2024 JHS EN Pre G8,Phil-IRI 2024 JHS EN Pre G8 — The Amazing World of Coral Reefs,"Coral reefs are sometimes called the 'rainforests of the sea' because they are among the most biologically diverse ecosystems on Earth. Although they cover less than one percent of the ocean floor, coral reefs are home to more than twenty-five percent of all marine species. Corals themselves are not plants but tiny animals called polyps that live in colonies. Over thousands of years, their skeletons accumulate to form the massive structures we see today. These reefs provide critical services: they protect coastlines from erosion caused by waves and storms, support the livelihoods of hundreds of millions of people through fisheries and tourism, and serve as breeding grounds for commercially important fish species. Despite their importance, coral reefs face severe threats from climate change, ocean acidification, pollution, and destructive fishing practices. Rising ocean temperatures cause coral bleaching, a phenomenon in which corals expel the symbiotic algae that give them color and nutrients, leaving them white and weakened. Without urgent action to reduce greenhouse gas emissions and improve local water quality, scientists warn that the majority of the world's coral reefs could be severely degraded within decades."
Evaluative,Phil-IRI 2024 JHS EN Pre G9,Phil-IRI 2024 JHS EN Pre G9 — Tesla's AI Robot Ready in September,"Elon Musk announced in August 2023 that Tesla's humanoid robot, named Optimus, would be ready for limited production by September of that year. The robot, which stands approximately 1.7 meters tall, is designed to perform tasks that are dangerous, repetitive, or boring for humans. Optimus uses the same AI technology that powers Tesla's self-driving cars, including cameras and a neural network that allows it to recognize and interact with its environment. In recent demonstrations, the robot was shown sorting objects, carrying boxes, and even performing simple household tasks such as watering plants. Musk stated that Tesla ultimately plans to sell the robot to consumers for less than twenty thousand dollars. However, AI researchers have expressed caution about such projections, noting that the gap between laboratory demonstrations and reliable real-world performance remains significant. The development of humanoid robots raises profound questions not only about technological capability but also about the future of work and the ethical implications of deploying machines that increasingly resemble and interact with humans."
Evaluative,Phil-IRI 2024 JHS EN Pre G10,Phil-IRI 2024 JHS EN Pre G10 — Butuan Archeological Sites,"Butuan City in Agusan del Norte, situated in the northeastern portion of Mindanao, holds one of the most significant archaeological records in all of Southeast Asia. For centuries, Butuan was a prosperous trading kingdom whose connections extended to China, India, and other parts of the ancient Malay world. The most celebrated discovery associated with Butuan is the golden artifacts unearthed in the area, including the Golden Tara of Agusan — a seated figure weighing approximately two kilograms of high-carat gold, believed to date from the ninth to tenth century CE. Of equal importance are the balangay, ancient plank boats excavated from the mudflats of Ambangan, which are among the oldest watercraft ever found in Southeast Asia. These vessels provide tangible evidence of the maritime capabilities and trade networks of pre-colonial Philippine societies. The Butuan artifacts challenge the notion that Philippine civilization before Spanish colonization was primitive or isolated, revealing instead a sophisticated polity that was deeply embedded in regional exchange systems. Ongoing excavations continue to yield objects — gold ornaments, Chinese porcelain, and bronze artifacts — that enrich our understanding of a dynamic and cosmopolitan culture that flourished long before European contact."
Literal,Phil-IRI 2024 JHS EN Post G4,Phil-IRI 2024 JHS EN Post G4 — Marian's Experiment,"Marian loved science. One afternoon, her teacher asked the class to do an experiment at home. The task was to grow a plant from a seed. Marian chose a bean seed. She planted it in a small pot filled with soil. She placed the pot near the window where it could get sunlight. Every morning, she watered it with just enough water. She wrote down what she observed each day in a small notebook. On the fifth day, she saw a tiny green shoot poking up from the soil. She was so excited that she called her grandmother to come and see. 'You did it!' her grandmother said. By the end of two weeks, Marian had a healthy bean plant with two small leaves. She brought it to school and shared her notes with her class. Her teacher smiled and said it was the most careful experiment in the class."
Literal,Phil-IRI 2024 JHS EN Post G5,Phil-IRI 2024 JHS EN Post G5 — Trading Places,"Marco and his older sister Clara never seemed to agree on anything. Marco thought chores were unfair because Clara always got the easier ones. Clara thought Marco was lucky because he did not have to cook. One Saturday, their parents suggested they trade places for the day. Marco had to cook lunch while Clara did the yard work. Marco went to the kitchen and stared at the pots and pans. He did not know where to start. He burned the rice and added too much salt to the soup. Clara, meanwhile, struggled under the hot sun raking leaves and pulling weeds. By noon, they were both exhausted. Over their imperfect lunch, they looked at each other and laughed. 'Your job is harder than I thought,' Marco admitted. 'So is yours,' Clara said. From that day on, they stopped complaining and started helping each other instead."
